TotalRevenue,AvgRevenuePerClaim,RevenueStd,RevenuePerBeneficiary,DeductibleRatio,TotalClaims,UniquePatients,ClaimsPerPatient,InpatientRatio,HighCostRatio,AvgDiagnosisCount,AvgProcedureCount,AvgLengthOfStay,AvgChronicBurden,ShortNoteRatio,HighCostShortNoteRatio,AvgWordCount,MedicalTermDensity,ClaimAfterDeathCount,AgeStd,RevenueMedianGap,PotentialFraud
104640,4185.6,10796.09114448373,4185.6,0.05103162240422014,25,24,1.0,0.2,0.2,3.2,0.12,1.44,1.464,0.0,0.0,537.28,2.28,0,11.915256326799408,3785.6000000000004,0
605670,4588.409090909091,7309.79472874617,5132.796610169492,0.10944225495359693,132,117,1.11864406779661,0.4696969696969697,0.4696969696969697,5.25,0.3636363636363636,3.674242424242424,1.5530303030303032,0.0227272727272727,0.0227272727272727,458.9772727272728,2.515151515151515,0,13.461823059425326,2838.409090909091,1
52170,350.13422818791946,689.9637540197714,375.32374100719426,0.0059419984282455774,149,138,1.0719424460431655,0.0,0.0604026845637583,2.5838926174496644,0.0,1.429530201342282,1.576510067114094,0.0067114093959731,0.0,511.4026845637584,2.751677852348993,0,12.918060705840574,280.13422818791946,0
280910,241.1244635193133,491.556391867259,566.3508064516129,0.013171431521015553,1165,495,2.348790322580645,0.0,0.023175965665236,2.5888412017167384,0.0,1.088412017167382,1.5806008583690985,0.015450643776824,0.0,486.9287553648069,2.7064377682403435,0,13.357433843822117,171.1244635193133,1
33710,468.19444444444446,1433.7691157058027,571.3559322033898,0.09682299546142209,72,58,1.2203389830508475,0.0416666666666666,0.0555555555555555,2.986111111111111,0.0138888888888888,0.9583333333333334,1.6,0.0555555555555555,0.0138888888888888,428.2083333333333,2.513888888888889,0,14.628678663386513,388.19444444444446,0
35630,828.6046511627907,3224.7654631552355,962.972972972973,0.06499957901827061,43,36,1.162162162162162,0.0465116279069767,0.0465116279069767,3.1627906976744184,0.0465116279069767,1.5348837209302326,1.6302325581395352,0.0232558139534883,0.0,460.2325581395349,2.7209302325581395,0,12.162247562877956,738.6046511627907,0
16630,286.7241379310345,701.0478070917784,307.962962962963,0.08225602789970538,58,53,1.0740740740740742,0.0172413793103448,0.0172413793103448,2.534482758620689,0.0,0.5517241379310345,1.5482758620689654,0.0,0.0,493.0862068965517,2.9827586206896552,0,13.090036757433106,211.72413793103448,0
16890,351.875,707.8936578689371,527.8125,0.005920312592504884,48,31,1.5,0.0,0.0416666666666666,2.5625,0.0,3.7083333333333335,1.5500000000000003,0.0208333333333333,0.0,456.6666666666667,2.708333333333333,0,10.49921898479978,291.875,0
14880,323.4782608695652,471.622341339171,330.6666666666667,0.015455950540958269,46,44,1.0222222222222221,0.0,0.0,2.5434782608695654,0.0,1.4565217391304348,1.5673913043478263,0.0,0.0,481.3478260869565,2.630434782608696,0,12.985164332946397,233.4782608695652,0
10480,349.3333333333333,822.984196996362,403.0769230769231,0.01144928918996279,30,25,1.1538461538461537,0.0,0.0666666666666666,3.6666666666666665,0.0,0.4666666666666667,1.5733333333333335,0.0,0.0,515.4666666666667,2.333333333333333,0,15.139542500565751,269.3333333333333,0
700,87.5,74.01737247816507,87.5,0.0,8,7,1.0,0.0,0.0,3.125,0.0,0.375,1.4,0.0,0.0,477.875,2.75,0,11.648881000827014,22.5,0
170,28.33333333333333,37.63863263545405,24.285714285714285,0.0,6,6,0.8571428571428571,0.0,0.0,3.5,0.0,0.3333333333333333,1.5,0.0,0.0,410.1666666666667,2.333333333333333,0,14.048724734532549,18.33333333333333,0
142720,277.126213592233,570.1818038894332,339.00237529691213,0.007357011231703813,515,420,1.2232779097387174,0.0,0.0368932038834951,2.704854368932039,0.003883495145631,1.3572815533980582,1.574757281553398,0.0077669902912621,0.0019417475728155,480.1067961165049,2.658252427184466,0,12.179316113788335,197.126213592233,0
348830,1357.3151750972763,4462.486890505436,1669.043062200957,0.09027867362705723,257,208,1.229665071770335,0.11284046692607,0.1439688715953307,3.4280155642023344,0.0856031128404669,2.0,1.551750972762646,0.0194552529182879,0.0,495.2918287937743,2.7976653696498053,0,13.202498409428904,1257.3151750972763,1
65610,1822.5,3084.6980634832225,1822.5,0.13144137415982077,36,35,1.0,0.25,0.2777777777777778,4.555555555555555,0.1388888888888889,3.6666666666666665,1.577777777777778,0.0,0.0,433.8888888888889,2.2777777777777777,0,13.07730373646927,1422.5,0
64050,1642.3076923076924,3334.4891990563538,1642.3076923076924,0.1514730449173315,39,38,1.0,0.2307692307692307,0.2051282051282051,3.5128205128205128,0.1794871794871795,1.641025641025641,1.5410256410256409,0.0,0.0,556.2820512820513,3.051282051282051,0,14.687018146114328,1572.3076923076924,0
118350,1360.344827586207,3052.031899721988,1537.012987012987,0.1206918403731274,87,76,1.12987012987013,0.1494252873563218,0.2068965517241379,3.67816091954023,0.1379310344827586,2.1724137931034484,1.571264367816092,0.0114942528735632,0.0,475.1034482758621,2.6091954022988504,0,12.90525381575987,1260.344827586207,0
19840,261.05263157894734,668.7831316600191,348.0701754385965,0.01713623305276952,76,56,1.3333333333333333,0.0,0.0394736842105263,2.4078947368421053,0.0,1.0921052631578947,1.6065789473684213,0.0263157894736842,0.0,465.6973684210527,2.894736842105264,0,14.90039443726121,196.05263157894734,0
29840,563.0188679245283,1044.0446219937528,663.1111111111111,0.0,53,44,1.1777777777777778,0.0,0.1320754716981132,2.471698113207548,0.0,2.1320754716981134,1.5339622641509434,0.0188679245283018,0.0,445.9433962264151,2.1320754716981134,0,13.4053148916382,503.0188679245283,0
30660,329.6774193548387,618.3119580109661,383.25,0.005218355565702358,93,79,1.1625,0.0,0.032258064516129,2.838709677419355,0.0,0.6989247311827957,1.6182795698924732,0.010752688172043,0.0,497.76344086021504,2.4731182795698925,0,12.390370116435315,249.67741935483872,0
739760,4326.081871345029,6972.1108605702175,5066.8493150684935,0.11726490042054123,171,145,1.1712328767123288,0.47953216374269,0.47953216374269,5.152046783625731,0.3333333333333333,3.198830409356725,1.5385964912280703,0.0058479532163742,0.0058479532163742,452.2865497076023,2.526315789473684,0,13.691492465917378,2726.081871345029,0
359720,1944.4324324324325,6540.990221125198,2276.7088607594937,0.08407627022053202,185,157,1.1708860759493671,0.1513513513513513,0.1621621621621621,3.362162162162162,0.1351351351351351,2.0,1.5145945945945944,0.0054054054054054,0.0,475.3081081081081,2.621621621621621,0,14.846171666830044,1864.4324324324325,0
5420,235.65217391304347,596.2063865273236,246.36363636363637,0.009223390518354546,23,21,1.0454545454545454,0.0,0.0434782608695652,2.347826086956522,0.0,0.9130434782608696,1.5782608695652174,0.0,0.0,494.4782608695652,2.6956521739130435,0,13.365047920933684,155.65217391304347,0
32560,1085.3333333333333,5274.670594933628,1252.3076923076924,0.043856146924234514,30,25,1.1538461538461537,0.0333333333333333,0.0333333333333333,2.4,0.0333333333333333,2.2666666666666666,1.52,0.0333333333333333,0.0,483.23333333333335,2.9,0,15.543820149100611,1025.3333333333333,0
